epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8091,0.61726,2.66097,1.04634,0.38409,0.75133,0.52787,0.49475,0.42261,3.71617,0.85208,0.00041441,0.00041441,0.00041441
2,172.361,0.64733,1.84041,1.03627,0.32312,0.53472,0.52625,0.45466,0.6015,5.90166,0.94201,0.000834763,0.000834763,0.000834763
3,249.064,0.6379,1.68114,0.97993,0.75893,0.33333,0.36577,0.28248,0.81608,3.96636,1.02507,0.00124663,0.00124663,0.00124663
4,325.701,0.71328,1.62175,1.005,0.23942,0.71023,0.34636,0.2504,0.77491,8.813,1.01849,0.00138656,0.00138656,0.00138656
5,402.346,0.77274,1.40649,1.00181,0.30826,0.5625,0.50365,0.31082,0.90117,7.99112,1.15787,0.00137241,0.00137241,0.00137241
6,478.772,0.78584,1.4262,0.9834,0.66319,0.64474,0.60922,0.48316,0.74731,1.79995,0.97287,0.00135826,0.00135826,0.00135826
7,554.479,0.6781,1.28793,0.95052,0.45556,0.56755,0.50036,0.43019,0.7849,2.30715,1.08917,0.00134412,0.00134412,0.00134412
8,630.517,0.65114,1.06055,0.94456,0.5754,0.54496,0.61447,0.50649,0.61291,2.69758,0.89959,0.00132997,0.00132997,0.00132997
9,706.577,0.57506,0.92811,0.91953,0.76836,0.68066,0.78343,0.66506,0.46834,1.70687,0.85064,0.00131582,0.00131582,0.00131582
10,782.646,0.60565,0.97173,0.93196,0.81369,0.89655,0.88441,0.78813,0.46828,1.26761,0.82281,0.00130168,0.00130168,0.00130168
11,858.141,0.63818,0.91004,0.97062,0.90616,0.90846,0.94853,0.85645,0.4226,0.81039,0.81739,0.00128753,0.00128753,0.00128753
12,934.094,0.58144,0.78769,0.96522,0.86758,0.86158,0.91391,0.85238,0.38052,0.74354,0.8203,0.00127338,0.00127338,0.00127338
13,1009.85,0.51543,0.70802,0.90931,0.91895,0.94318,0.95176,0.89707,0.40715,0.56247,0.84629,0.00125923,0.00125923,0.00125923
14,1085.47,0.5842,0.839,0.96532,0.91336,0.91191,0.95656,0.88121,0.39777,0.65567,0.84501,0.00124509,0.00124509,0.00124509
15,1161.02,0.54823,0.78198,0.94486,0.79791,0.70561,0.83994,0.80522,0.35808,1.07214,0.82294,0.00123094,0.00123094,0.00123094
16,1236.59,0.5013,0.80041,0.94832,0.63387,0.77652,0.788,0.7523,0.33786,0.91216,0.81428,0.00121679,0.00121679,0.00121679
17,1312.17,0.49173,0.75547,0.9314,0.93564,0.86422,0.96268,0.9206,0.3735,0.57525,0.83713,0.00120265,0.00120265,0.00120265
18,1387.77,0.46789,0.64099,0.90252,0.93956,0.90729,0.97201,0.92093,0.34281,0.49805,0.82365,0.0011885,0.0011885,0.0011885
19,1463.38,0.49643,0.62112,0.9229,0.82749,0.96903,0.96719,0.94028,0.34506,0.51713,0.84858,0.00117435,0.00117435,0.00117435
20,1539.27,0.4908,0.6314,0.93182,0.8968,1,0.99002,0.92671,0.35515,0.40569,0.82753,0.00116021,0.00116021,0.00116021
21,1614.91,0.48141,0.64361,0.94176,0.9733,0.93697,0.96793,0.92654,0.34446,0.45803,0.82976,0.00114606,0.00114606,0.00114606
22,1690.76,0.49442,0.71424,0.95664,0.93003,0.97225,0.97382,0.91913,0.34347,0.40175,0.82629,0.00113191,0.00113191,0.00113191
23,1766.18,0.47488,0.65482,0.91336,0.92298,0.92743,0.96721,0.89893,0.32477,0.69609,0.81595,0.00111776,0.00111776,0.00111776
24,1841.79,0.45515,0.53956,0.91608,0.75639,0.92139,0.93222,0.88591,0.3229,0.68709,0.81793,0.00110362,0.00110362,0.00110362
25,1917.25,0.44183,0.57827,0.89308,0.97401,0.95833,0.96111,0.9209,0.31503,0.35325,0.80601,0.00108947,0.00108947,0.00108947
26,1992.99,0.45941,0.51778,0.92511,0.95146,0.93152,0.97843,0.93263,0.31082,0.43424,0.8102,0.00107532,0.00107532,0.00107532
27,2068.61,0.41773,0.46135,0.87983,0.97272,0.95643,0.98185,0.93047,0.33053,0.31088,0.82965,0.00106118,0.00106118,0.00106118
28,2144.62,0.44661,0.51528,0.9144,0.96264,0.93995,0.995,0.94113,0.33156,0.35653,0.82829,0.00104703,0.00104703,0.00104703
29,2220.35,0.46146,0.48911,0.9007,0.69561,0.79706,0.79528,0.77105,0.32834,1.10434,0.83085,0.00103288,0.00103288,0.00103288
30,2296,0.47387,0.57626,0.91142,0.97268,0.96156,0.97769,0.94985,0.31042,0.30395,0.80787,0.00101873,0.00101873,0.00101873
31,2371.59,0.44136,0.53694,0.91214,0.93618,0.97565,0.9883,0.9558,0.28825,0.32181,0.80579,0.00100459,0.00100459,0.00100459
32,2447.55,0.45285,0.49583,0.91896,0.94327,0.97145,0.99059,0.94381,0.31197,0.31294,0.81799,0.00099044,0.00099044,0.00099044
33,2523.56,0.45385,0.49605,0.935,0.92861,0.98619,0.995,0.95317,0.29063,0.33852,0.81245,0.000976293,0.000976293,0.000976293
34,2601.44,0.45914,0.58691,0.92068,0.89582,0.86735,0.9224,0.87988,0.31393,0.60478,0.8283,0.000962146,0.000962146,0.000962146
35,2678.24,0.43567,0.60113,0.89668,0.91487,0.97343,0.98796,0.93775,0.34716,0.42477,0.85091,0.000947999,0.000947999,0.000947999
36,2753.95,0.40608,0.49079,0.90222,0.9883,1,0.995,0.95497,0.30414,0.28106,0.8226,0.000933851,0.000933851,0.000933851
37,2829.79,0.40253,0.43006,0.87565,0.97711,0.99657,0.995,0.95755,0.29677,0.26307,0.81431,0.000919704,0.000919704,0.000919704
38,2905.7,0.43955,0.47449,0.91308,0.96445,0.97265,0.99389,0.96614,0.29839,0.30817,0.81221,0.000905557,0.000905557,0.000905557
39,2981.98,0.42461,0.4734,0.89727,0.91358,0.97943,0.98702,0.95893,0.29577,0.34135,0.80568,0.00089141,0.00089141,0.00089141
40,3058.23,0.41727,0.52249,0.88722,0.87894,0.9074,0.97597,0.94358,0.30103,0.52452,0.81407,0.000877263,0.000877263,0.000877263
41,3134.19,0.42178,0.55477,0.89653,0.84596,0.86174,0.93219,0.91377,0.28474,0.58933,0.80836,0.000863116,0.000863116,0.000863116
42,3211.97,0.41762,0.52373,0.88762,0.95999,0.92495,0.97378,0.95157,0.27983,0.35376,0.80298,0.000848969,0.000848969,0.000848969
43,3288.5,0.3967,0.46918,0.87826,0.98445,0.9375,0.98176,0.95845,0.28179,0.28573,0.8042,0.000834822,0.000834822,0.000834822
44,3364.11,0.41036,0.43563,0.89203,0.97103,0.96098,0.9901,0.95097,0.28046,0.24991,0.80727,0.000820675,0.000820675,0.000820675
45,3439.97,0.38373,0.38926,0.87287,0.98901,0.95833,0.98655,0.95788,0.25448,0.23967,0.79199,0.000806528,0.000806528,0.000806528
46,3515.61,0.37393,0.38573,0.85995,0.98604,1,0.995,0.95364,0.28807,0.2404,0.80861,0.00079238,0.00079238,0.00079238
47,3591.19,0.40795,0.3958,0.9132,0.99685,0.96968,0.99278,0.97717,0.24664,0.2376,0.79035,0.000778233,0.000778233,0.000778233
48,3667.24,0.41208,0.39154,0.89911,0.99096,0.97668,0.99024,0.95667,0.25953,0.2352,0.79492,0.000764086,0.000764086,0.000764086
49,3743.19,0.38377,0.35817,0.88592,0.9862,0.95833,0.98407,0.9621,0.26512,0.24337,0.7954,0.000749939,0.000749939,0.000749939
50,3819.09,0.37619,0.4083,0.8699,0.94983,0.94381,0.97265,0.94403,0.27379,0.32993,0.805,0.000735792,0.000735792,0.000735792
51,3894.78,0.3704,0.39533,0.88292,0.96389,0.96685,0.9883,0.96677,0.27783,0.25916,0.80295,0.000721645,0.000721645,0.000721645
52,3970.43,0.38464,0.40565,0.88413,0.84349,0.90586,0.95716,0.93675,0.27656,0.51469,0.80632,0.000707498,0.000707498,0.000707498
53,4046.44,0.39858,0.39603,0.9,0.94235,0.96406,0.97796,0.94172,0.29184,0.29666,0.81655,0.000693351,0.000693351,0.000693351
54,4122.07,0.35755,0.36907,0.8659,0.94634,0.99849,0.99265,0.96377,0.28437,0.24229,0.8198,0.000679204,0.000679204,0.000679204
55,4197.8,0.37691,0.37632,0.87005,0.98023,0.99774,0.995,0.96131,0.29201,0.22186,0.81705,0.000665057,0.000665057,0.000665057
56,4273.33,0.34359,0.33377,0.85752,0.98935,0.99962,0.995,0.95525,0.27501,0.20245,0.81356,0.000650909,0.000650909,0.000650909
57,4349.11,0.37239,0.3484,0.8739,0.9893,0.99777,0.995,0.96855,0.26316,0.2088,0.80351,0.000636762,0.000636762,0.000636762
58,4424.98,0.38718,0.36521,0.89346,0.94996,0.95905,0.97296,0.94964,0.26665,0.27478,0.79971,0.000622615,0.000622615,0.000622615
59,4500.74,0.3846,0.35666,0.8962,0.9538,0.83204,0.94652,0.91772,0.29126,0.42853,0.81275,0.000608468,0.000608468,0.000608468
60,4577.04,0.37239,0.37144,0.88157,0.97509,0.95833,0.98865,0.97569,0.24883,0.22437,0.7971,0.000594321,0.000594321,0.000594321
61,4652.55,0.3823,0.3368,0.88784,0.97468,0.95853,0.97751,0.96402,0.25358,0.2395,0.79852,0.000580174,0.000580174,0.000580174
62,4728.06,0.37012,0.37832,0.87917,0.93738,0.96723,0.98655,0.96009,0.27197,0.29603,0.80535,0.000566027,0.000566027,0.000566027
63,4803.68,0.37822,0.37021,0.87699,0.94378,0.9666,0.99265,0.96231,0.30589,0.29813,0.81982,0.00055188,0.00055188,0.00055188
64,4879.61,0.36977,0.36489,0.87904,0.96007,0.9974,0.99265,0.95838,0.2935,0.23864,0.8076,0.000537733,0.000537733,0.000537733
65,4955.39,0.37859,0.37173,0.87574,0.99164,0.95368,0.98545,0.965,0.25526,0.24051,0.79684,0.000523586,0.000523586,0.000523586
66,5031.13,0.36857,0.36522,0.89394,0.97647,0.95298,0.97265,0.95918,0.25839,0.24573,0.7974,0.000509438,0.000509438,0.000509438
67,5106.43,0.34581,0.34054,0.86874,0.97377,0.95833,0.96196,0.94038,0.27284,0.26997,0.80452,0.000495291,0.000495291,0.000495291
68,5181.94,0.34375,0.33192,0.86948,0.9676,0.97765,0.98774,0.96676,0.25254,0.21814,0.79093,0.000481144,0.000481144,0.000481144
69,5257.5,0.34629,0.32287,0.86413,0.96088,0.9709,0.99059,0.96888,0.2494,0.22762,0.79049,0.000466997,0.000466997,0.000466997
70,5333.29,0.35397,0.32534,0.8701,0.98179,0.9969,0.995,0.97429,0.24988,0.1772,0.79135,0.00045285,0.00045285,0.00045285
71,5408.69,0.33888,0.32573,0.86766,0.96627,0.99511,0.995,0.97877,0.23623,0.1986,0.78807,0.000438703,0.000438703,0.000438703
72,5484.32,0.35296,0.34109,0.87247,0.98081,0.97759,0.991,0.96526,0.24863,0.20955,0.79325,0.000424556,0.000424556,0.000424556
73,5560.11,0.34643,0.34184,0.88339,0.95469,0.99827,0.99265,0.97217,0.25401,0.19446,0.79579,0.000410409,0.000410409,0.000410409
74,5635.77,0.34031,0.308,0.86057,0.99312,0.97755,0.99382,0.97406,0.23654,0.17726,0.79079,0.000396262,0.000396262,0.000396262
75,5711.37,0.36928,0.3698,0.89814,0.99029,0.97755,0.99382,0.97509,0.25281,0.18063,0.79624,0.000382115,0.000382115,0.000382115
76,5787.07,0.32274,0.26572,0.84442,0.9907,0.99867,0.995,0.97774,0.23718,0.17098,0.79036,0.000367967,0.000367967,0.000367967
77,5862.54,0.37541,0.31956,0.89529,0.99033,1,0.995,0.97296,0.24394,0.17091,0.79496,0.00035382,0.00035382,0.00035382
78,5937.87,0.32398,0.27953,0.87137,0.98142,0.98485,0.99389,0.97392,0.24117,0.18515,0.79243,0.000339673,0.000339673,0.000339673
79,6013.25,0.33995,0.30663,0.86876,0.98186,0.98485,0.99442,0.97242,0.25476,0.19516,0.79692,0.000325526,0.000325526,0.000325526
